algorithm,layer,utility,mean_violation,cvar,power_violation,dual_mean,dual_max,repair_selective_iters_mean,repair_alpha_mean,repair_alpha_min,repair_global_used_fraction,repair_global_scale_mean,repair_worst_excess_mean,recovery_safe_fraction_mean,recovery_eta_mean,recovery_eta_min,recovery_num_groups,recovery_global_rescue_fraction,recovery_global_scale_mean,recovery_worst_excess_mean
risk_neutral_pgd,1,9.082708358764648,344.6744384765625,1112.887939453125,2.6490953430879927e-08,,,,,,,,,,,,,,,
risk_neutral_pgd,2,18.565841674804688,137.57156372070312,352.1419677734375,0.0,,,,,,,,,,,,,,,
risk_neutral_pgd,3,15.596171379089355,145.9095916748047,378.63787841796875,0.0,,,,,,,,,,,,,,,
risk_neutral_pgd,4,12.147536277770996,130.11895751953125,415.8209533691406,0.0,,,,,,,,,,,,,,,
wideband_pgd,1,-3401.14892578125,72.54253387451172,290.1701354980469,2.6490953430879927e-08,,,,,,,,,,,,,,,
wideband_pgd,2,-100311.3671875,2134.486572265625,8537.9462890625,0.0,,,,,,,,,,,,,,,
wideband_pgd,3,-73094.0703125,1555.363037109375,6221.4521484375,0.0,,,,,,,,,,,,,,,
wideband_pgd,4,-79427.21875,1690.05517578125,6760.220703125,0.0,,,,,,,,,,,,,,,
budgeted_primal_dual_pgd,1,-573.6505126953125,72.54253387451172,290.1701354980469,2.6490953430879927e-08,0.919996440410614,2.2767527103424072,,,,,,,,,,,,,
budgeted_primal_dual_pgd,2,-20939.970703125,2617.7626953125,10471.05078125,0.0,1.2399964332580566,3.8767526149749756,,,,,,,,,,,,,
budgeted_primal_dual_pgd,3,-17287.27734375,2159.8115234375,8639.24609375,0.0,1.5599963665008545,5.476752281188965,,,,,,,,,,,,,
budgeted_primal_dual_pgd,4,-17935.14453125,2239.75390625,8959.015625,0.0,1.8799962997436523,7.076752185821533,,,,,,,,,,,,,
budgeted_primal_dual_pgd,5,-17839.5078125,2226.499267578125,8905.9970703125,0.0,2.19999623298645,8.676752090454102,,,,,,,,,,,,,
budgeted_primal_dual_pgd,6,-17865.125,2228.928466796875,8915.7138671875,0.0,2.569188117980957,10.276752471923828,,,,,,,,,,,,,
budgeted_primal_dual_pgd,7,-17859.265625,2227.114990234375,8908.4599609375,0.0,2.9691882133483887,11.876752853393555,,,,,,,,,,,,,
budgeted_primal_dual_pgd,8,-17866.4453125,2227.417724609375,8909.6708984375,0.0,3.3691883087158203,13.476753234863281,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,1,-573.6505126953125,72.54253387451172,290.1701354980469,2.6490953430879927e-08,0.919996440410614,2.2767527103424072,5.0,0.9183266162872314,0.019999999552965164,1.0,0.0044054607860744,-0.0030001401901245117,,,,,,,
budgeted_primal_dual_pgd_repair,2,-20939.970703125,2617.7626953125,10471.05078125,0.0,1.2399964332580566,3.8767526149749756,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,3,-17287.27734375,2159.8115234375,8639.24609375,0.0,1.5599963665008545,5.476752281188965,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,4,-17935.14453125,2239.75390625,8959.015625,0.0,1.8799962997436523,7.076752185821533,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,5,-17839.5078125,2226.499267578125,8905.9970703125,0.0,2.19999623298645,8.676752090454102,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,6,-17865.125,2228.928466796875,8915.7138671875,0.0,2.569188117980957,10.276752471923828,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,7,-17859.265625,2227.114990234375,8908.4599609375,0.0,2.9691882133483887,11.876752853393555,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,8,-17866.4453125,2227.417724609375,8909.6708984375,0.0,3.3691883087158203,13.476753234863281,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,9,-22345.30859375,2228.625,8914.5,0.0,4.803563117980957,19.214252471923828,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,10,-29236.158203125,2915.282958984375,11661.1318359375,0.0,6.237937927246094,24.951751708984375,,,,,,,,,,,,,
